Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Action,877.8299999999916,524.9999999999854,159.95000000000087,187.3799999999972
Adventure,105.79999999999998,64.13000000000008,52.0700000000003,16.810000000000024
Fighting,223.59000000000017,101.32000000000025,87.35000000000014,36.67999999999998
Misc,410.23999999999904,215.98000000000036,107.75999999999995,75.32000000000136
Platform,447.0499999999991,201.63000000000017,130.77000000000012,51.589999999999776
Puzzle,123.78000000000009,50.77999999999998,57.30999999999997,12.549999999999935
Racing,359.41999999999774,238.39000000000024,56.69000000000002,77.27000000000116
Role-Playing,327.279999999999,188.06000000000031,352.3099999999979,59.60999999999999
Shooter,582.599999999995,313.2699999999967,38.28000000000007,102.69000000000112
Simulation,183.31000000000068,113.3800000000002,63.70000000000007,31.520000000000294
Sports,683.3499999999967,376.84999999999457,135.3700000000004,134.96999999999758
Strategy,68.70000000000019,45.34000000000005,49.46000000000003,11.359999999999932